run,label,image_set,n_images,dataset,model.name,model.dim,data.mode,data.path,data.batch_size,data.crop_size,training.seed,training.max_iterations,loss.mode,loss.recon_weight,loss.anchor_version,loss.anchor_weight,loss.bdsp_weight,loss.smooth_weight,loss.smooth_version,full_sample_count,full_selection_metric,full_selected_checkpoint_step,full_selected_value,full_total_loss,full_recon_loss,full_recon_weighted_loss,full_anchor_loss,full_anchor_weighted_loss,full_bdsp_loss,full_bdsp_weighted_loss,input_low_mean_mean,input_low_mean_median,input_low_mean_p05,input_low_mean_p95,input_low_gray_std_mean,input_low_gray_std_median,input_low_gray_std_p05,input_low_gray_std_p95,r_low_mean_mean,r_low_mean_median,r_low_mean_p05,r_low_mean_p95,r_low_std_mean,r_low_std_median,r_low_std_p05,r_low_std_p95,r_low_gray_std_mean,r_low_gray_std_median,r_low_gray_std_p05,r_low_gray_std_p95,r_low_bright_095_mean,r_low_bright_095_median,r_low_bright_095_p05,r_low_bright_095_p95,r_low_dark_005_mean,r_low_dark_005_median,r_low_dark_005_p05,r_low_dark_005_p95,r_low_mean_gain_vs_input_mean,r_low_mean_gain_vs_input_median,r_low_mean_gain_vs_input_p05,r_low_mean_gain_vs_input_p95,r_low_contrast_gain_vs_input_mean,r_low_contrast_gain_vs_input_median,r_low_contrast_gain_vs_input_p05,r_low_contrast_gain_vs_input_p95,r_low_tv_to_input_mean,r_low_tv_to_input_median,r_low_tv_to_input_p05,r_low_tv_to_input_p95,r_low_input_gray_corr_mean,r_low_input_gray_corr_median,r_low_input_gray_corr_p05,r_low_input_gray_corr_p95,r_low_input_chroma_l1_mean,r_low_input_chroma_l1_median,r_low_input_chroma_l1_p05,r_low_input_chroma_l1_p95,l_low_mean_mean,l_low_mean_median,l_low_mean_p05,l_low_mean_p95,l_low_std_mean,l_low_std_median,l_low_std_p05,l_low_std_p95,l_low_bright_095_mean,l_low_bright_095_median,l_low_bright_095_p05,l_low_bright_095_p95,l_low_tv_to_input_mean,l_low_tv_to_input_median,l_low_tv_to_input_p05,l_low_tv_to_input_p95,l_low_input_gray_corr_mean,l_low_input_gray_corr_median,l_low_input_gray_corr_p05,l_low_input_gray_corr_p95,self_low_l1_mean,self_low_l1_median,self_low_l1_p05,self_low_l1_p95,self_low_psnr_mean,self_low_psnr_median,self_low_psnr_p05,self_low_psnr_p95,anchor_target_mean,anchor_target_median,anchor_target_p05,anchor_target_p95,anchor_abs_error_mean,anchor_abs_error_median,anchor_abs_error_p05,anchor_abs_error_p95,r_low_highref_mean_ratio_abs_err,rank_self_recon,rank_r_noise,rank_l_leakage_corr,rank_anchor_diagnostic,rank_r_bright,rank_full_recon,canonical_anchor_penalty,pure_single_rank_score,full_smooth_loss,full_smooth_weighted_loss,input_low_highref_psnr_mean,input_low_highref_psnr_median,input_low_highref_psnr_p05,input_low_highref_psnr_p95,r_low_highref_l1_mean,r_low_highref_l1_median,r_low_highref_l1_p05,r_low_highref_l1_p95,r_low_highref_psnr_mean,r_low_highref_psnr_median,r_low_highref_psnr_p05,r_low_highref_psnr_p95,r_low_highref_ssim_mean,r_low_highref_ssim_median,r_low_highref_ssim_p05,r_low_highref_ssim_p95,r_low_highref_mean_ratio_mean,r_low_highref_mean_ratio_median,r_low_highref_mean_ratio_p05,r_low_highref_mean_ratio_p95,r_low_highref_overbright_010_mean,r_low_highref_overbright_010_median,r_low_highref_overbright_010_p05,r_low_highref_overbright_010_p95,r_low_highref_chroma_l1_mean,r_low_highref_chroma_l1_median,r_low_highref_chroma_l1_p05,r_low_highref_chroma_l1_p95,r_low_highref_gray_corr_mean,r_low_highref_gray_corr_median,r_low_highref_gray_corr_p05,r_low_highref_gray_corr_p95,r_low_highref_psnr_gain_vs_input_mean,r_low_highref_psnr_gain_vs_input_median,r_low_highref_psnr_gain_vs_input_p05,r_low_highref_psnr_gain_vs_input_p95,rank_highref,rank_highref_scale,rank_highref_overbright
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.0,v1,3929,total_loss,10000,0.00954168740390677,0.00954168740390677,0.003551824143989361,0.003551824143989361,0.04638473213394048,0.002319236643408295,0.07341253094339104,0.0036706266083609295,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.6137149119377137,0.6184758543968201,0.46250949054956436,0.7546322822570801,0.18917023929953575,0.1890181452035904,0.1265642486512661,0.2542557299137114,0.14228401781618596,0.14449621737003326,0.09075894244015217,0.18077283799648286,0.0353598582175926,0.024766167534722223,0.004100495515046297,0.1130433485243055,7.868778935185184e-05,3.616898148148148e-07,0.0,0.00028389033564814705,6.014642131115576,5.4636750762703015,2.968526564572076,10.634134738238991,1.2575451607656798,1.1269393219980022,0.5840214069759315,2.3247451524020075,3.3155531189382557,2.89325955910621,1.4815794724577067,6.373097739957807,0.7131480070105414,0.7145277889575773,0.6205417288443307,0.8183650651766523,0.015661408921703698,0.010859665460884571,0.0047349400119856,0.044254266098141634,0.16801612292230128,0.15859201550483704,0.0736117534339428,0.306708912551403,0.13890404629707337,0.1341053992509842,0.06996836923062802,0.21564416140317916,0.008184340277777778,0.004717881944444445,0.00035134548611111114,0.026282714843749985,0.8484165630510916,0.8428746692648231,0.7562785461825311,0.9687398161294549,0.9831216618130982,0.9873513517779959,0.9586329861960206,0.9956809827468969,0.00411280181678012,0.0036915068048983812,0.0022870380082167683,0.006969666457735,41.40713518771281,41.34517841317441,36.40099703751303,46.63896206644892,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.04399281115829944,0.04262469708919525,0.026648358441889286,0.0719378776848316,nan,1,1,5,3,3,1,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-060543,r1-a2-sm0.1v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v1,3929,total_loss,10000,0.010109085442446653,0.010109085442446653,0.003581836367261587,0.003581836367261587,0.04875776098486909,0.0024378880927517924,0.07116626612282673,0.0035583133635993646,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.6034534550905227,0.6104469895362854,0.4459217920899391,0.7458004087209702,0.189733438372612,0.1909596249461174,0.1264391325414181,0.2500821255147456,0.14549435833096505,0.14739691466093063,0.0902380246669054,0.19008388370275497,0.02648214699074074,0.017926793981481483,0.003629701967592593,0.08265001085069443,0.00016213541666666668,1.6276041666666666e-06,0.0,0.0006049985532407401,5.893229844657922,5.376773407270248,2.9246458915529203,10.309137166904339,1.2906550014001676,1.144747753200853,0.5878680264583116,2.4508376316791525,3.531574426621654,3.0783460211823113,1.6437672319851382,6.670115196500859,0.7063636804002907,0.7073113928903869,0.6116520550938029,0.8122147635299141,0.015572185995988547,0.010837488807737827,0.004658448277041316,0.04361524805426596,0.1703963358476758,0.16100025177001953,0.0748543068766594,0.31136805117130273,0.13962814128398895,0.13476496934890747,0.07009102590382099,0.21652256250381463,0.00819,0.004644097222222222,0.0003318142361111112,0.026450954861111084,0.7745691471167866,0.7720273529936114,0.6797059718377292,0.875452047758042,0.9809355562596174,0.9849862437554469,0.9570587443691002,0.9945633173829393,0.004157714799046516,0.0037680830573663116,0.002335147256962955,0.00696273981593549,40.95214116137729,40.86935071130184,36.025128230604196,46.104887036065506,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.046373024083673955,0.0449863076210022,0.028064182586967946,0.07627192214131354,nan,2,2,4,4,2,2,0,26,0.00531047604078288,0.0005310476135301811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-081309,r1-a2-sm0.5v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.5,v1,3929,total_loss,10000,0.01173118590743495,0.01173118590743495,0.003776435276704868,0.003776435276704868,0.05106303031627657,0.0025531515595177225,0.06592766446606382,0.0032963832731522976,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.5992704620361328,0.5994989275932312,0.46326519548892975,0.7272234708070755,0.1890203456580639,0.18907218426465988,0.1324027068912983,0.24713335037231443,0.1456995265483856,0.14522194862365723,0.10085858628153802,0.1870893448591232,0.020688337673611112,0.015610894097222223,0.004975278501157407,0.05020959924768518,0.0005072019675925926,9.403935185185186e-06,0.0,0.001147298177083332,5.915672523777341,5.306036365038491,2.840473519689103,10.6429128210682,1.2844305010586867,1.135505892522563,0.637041450710959,2.4164370928399155,3.9058735190096527,3.444752579290518,1.9597118525702002,7.110266638520626,0.6877047034223527,0.6899283567673747,0.5954630713239417,0.7972966070909344,0.015549093619920313,0.010987404268234968,0.004781458876095712,0.043144202604889846,0.1728475946560502,0.16346192359924316,0.07180148772895337,0.3192671909928322,0.14165252062678338,0.13796032220125198,0.07109733149409295,0.22029729634523393,0.008207821180555555,0.004380425347222222,0.00026768663194444447,0.02690337456597222,0.6472086803698601,0.6435618584006746,0.5410597660179022,0.7516514975966584,0.97292319558484,0.9765238408727117,0.9486664299801935,0.9898878093608892,0.004499431997537613,0.004126246552914381,0.0025936900172382595,0.007337292144075034,39.834992290772604,39.68966202547588,35.51032670142462,44.91779900228939,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.04882428289204836,0.04769250378012657,0.025735479407012464,0.08356198146939278,nan,3,3,1,5,1,3,0,27,0.004210431512682723,0.0021052157563413616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-102043,r0.3-a2-sm0.1v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.1,v1,3929,total_loss,10000,0.006537249148959617,0.006537249148959617,0.006236947429470469,0.0018710843051259174,0.032369980891964065,0.0016184990724738802,0.051811643307955096,0.002590582211928328,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.6725956214666367,0.6782518625259399,0.5162825047969818,0.8121347218751906,0.20223826920986177,0.20163863897323608,0.1312173381447792,0.27130024284124377,0.15811331671476364,0.15602653473615646,0.09631337076425553,0.2177925288677215,0.10384117766203704,0.09214644820601853,0.033261121961805556,0.2195824471932869,1.6941550925925927e-06,0.0,0.0,3.0924479166666607e-06,6.658635758249843,6.001718959200694,3.168604477853096,12.116353471156092,1.426311031723154,1.192341883363345,0.6078150295980758,2.9485064040027122,4.988557731579425,4.337185423300008,2.2679253807087054,9.220141370758274,0.6095218203060828,0.6054193950824618,0.4897178258817946,0.7499532797393568,0.026726983526721596,0.019300409592688084,0.008167660422623157,0.07138872072100638,0.15384549087285995,0.14442037045955658,0.06117616109549999,0.2908737286925316,0.1350158257484436,0.13116945326328278,0.06681637838482857,0.2115745931863784,0.006587274305555555,0.0035801866319444446,0.0001875,0.01967089843749999,0.7036927961485627,0.701773109439118,0.6085581119681875,0.7989778729409199,0.9793737645553724,0.9834992021888225,0.953121818084385,0.9936153477279625,0.0070030844770371916,0.006390796974301338,0.004025858826935291,0.011999284150078891,36.881276660872416,36.89925332099794,32.48256076900279,41.552908435116564,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.029822179108858107,0.027410008013248444,0.01518421582877636,0.05112742707133291,nan,4,4,3,2,4,4,0,42,0.004570835546255453,0.00045708356217594853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-123043,r0.3-a2-sm0.5v1,final_best,250,BDDnight,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/BDDnight,4,512,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.5,v1,3929,total_loss,10000,0.007828976373743104,0.007828976373743104,0.009001591496243523,0.0027004775588113134,0.028436089658455014,0.0014218045085628622,0.054676983497902225,0.0027338492228479124,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.12848626284301282,0.1253480166196823,0.06471055001020432,0.20396742671728135,0.7013406759500503,0.7013734579086304,0.5703753083944321,0.8259140640497207,0.20568215721845626,0.20272844284772873,0.1323707565665245,0.28935547173023224,0.15094604533910752,0.15074090659618378,0.10442747659981251,0.19566479250788688,0.12234256365740741,0.11321759259259259,0.048784830729166666,0.2235451750578703,0.0008242505787037037,2.6945891203703703e-05,1.4467592592592592e-06,0.0012672706886574072,7.075371895292722,6.180387067288756,3.181258270677138,13.418213149321012,1.3445503736565112,1.1463979780488687,0.6473913568349103,2.6306902811064,22.234039830992717,16.31549261981923,7.504653465843907,50.52170965216939,0.5286943334922828,0.5282679414834371,0.3750353224644619,0.6795257724158252,0.03920478416606784,0.0297790989279747,0.014500382728874684,0.0953984286636114,0.14985896757990122,0.13970104604959488,0.055324604175984865,0.29100446999073026,0.13611511945724486,0.1320813000202179,0.06733908206224443,0.21321243494749062,0.006462821180555555,0.0033935546875,0.00018473307291666668,0.019865831163194406,0.6556497001059641,0.6533142166038199,0.5532825620334989,0.7601508125233591,0.9765598217202288,0.9807659677655116,0.9505984754955938,0.9920824549006977,0.009833170345053077,0.009109263774007559,0.00552270570769906,0.01617812355980277,34.00493240308719,33.838911551396976,29.9973429752383,38.54058074304493,0.12402331176400185,0.115222979336977,0.04433740135282278,0.23794283866882315,0.02583565581589937,0.023449517786502838,0.009732050821185112,0.05128760114312168,nan,5,5,2,1,5,5,0,49,0.00194569014930862,0.00097284507465431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,r1-a2-sm0.1v2,best,100,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.1,0.1,v2,,,,,,,,,,,,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.042298272466287014,0.03508896380662918,0.014242716925218703,0.10489877574145794,0.47630113750696185,0.46973440051078796,0.3672103688120842,0.6070086121559143,0.21055015817284584,0.2147597074508667,0.156315328925848,0.24825298488140105,0.16943404547870158,0.17311011999845505,0.12423666305840016,0.2106519915163517,0.0035236805555555555,0.001579861111111111,3.868055555555556e-05,0.012644652777777769,0.0028930555555555554,0.0009847222222222223,6.875e-06,0.012074861111111104,10.609982273744452,9.956761108916718,4.757048634849706,21.39942236618579,5.0385322525858305,4.677672973843602,1.6474218577803927,8.69839902700166,10.091982239014246,9.375011379936142,5.37875672072697,16.788775410805023,0.83850492739421,0.8544830397973862,0.7145967066849704,0.9455038900273242,0.049637771882116793,0.04721066355705261,0.012447890220209956,0.1017086938023567,0.09634283013641834,0.08643241971731186,0.04058423992246389,0.18379486501216888,0.04355215160176158,0.035478152334690094,0.015555391693487764,0.11311746425926685,0.0,0.0,0.0,0.0,0.15978405009944863,0.16036105426891878,0.09234616006787831,0.23454092361167747,0.8831011060364784,0.8937063807198147,0.747944525526166,0.9736631336170969,0.004516737894155085,0.004358277888968587,0.0030695123714394867,0.0064144062111154195,41.27591086776202,41.25329152743348,34.14755718118165,47.0359645782472,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.04065156089141965,0.03999691642820835,0.021754808723926544,0.06239661872386932,0.33322520191103955,5,1,1,10,1,7,0,28,,,9.718215424642969,9.825046727604462,6.128033403386111,12.716967267530812,0.15191065564751624,0.1327853426337242,0.09292117767035961,0.24358002468943596,15.193391255410736,15.357300643197322,11.15077184282694,18.56892086830805,0.42663966611027715,0.42362356185913086,0.26238720044493674,0.6000647991895676,1.3332252019110395,1.3003921603762807,0.9135932634162346,1.809446031849757,0.5447167083333333,0.5337041666666666,0.03996854166666666,0.9425395833333333,0.054149397360160945,0.052367040887475014,0.018809498753398657,0.09158801063895224,0.8655043483062527,0.8717273483549519,0.7928007962708763,0.9217305728146301,5.475175830767767,5.511839252908212,-0.9678956649051732,11.45872787554826,1,1,1
LOLv2_1.0r_0.05anchorv2_0.08bdsp_0.1smv2_20260724-044405,r1-a2-sm0.1v2,best,100,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.08,0.1,v2,,,,,,,,,,,,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.042298272466287014,0.03508896380662918,0.014242716925218703,0.10489877574145794,0.48468962162733076,0.48041220009326935,0.3803644195199013,0.6185598254203797,0.21253486201167107,0.21730998903512955,0.15633530989289282,0.2501045882701874,0.1688166057318449,0.17091868817806244,0.12436948157846928,0.21185584887862202,0.003686972222222222,0.0017305555555555555,6.895833333333333e-05,0.013033541666666659,0.0020673611111111114,0.0007,2.6944444444444448e-05,0.006988611111111104,10.783960083968452,10.18710541449109,4.859513074372143,21.65702796557167,5.006730622125849,4.646753814934696,1.6458980037826911,8.78724565285297,10.30808721577799,9.565382866399535,5.554514326610995,17.11655222209435,0.8311475316969671,0.8512695626857503,0.701534236847323,0.9334150623470959,0.04732647931203246,0.045410605147480965,0.011547798803076149,0.09874564968049525,0.09469013527035713,0.08476636931300163,0.040308766253292556,0.18059496507048606,0.043715647598728535,0.03572198376059532,0.015955444797873496,0.11179276295006274,0.0,0.0,0.0,0.0,0.16281613796909794,0.16049633981894007,0.09345215032187604,0.2342234856681749,0.8848067124109545,0.8957896522668314,0.7434655229642647,0.975191794623912,0.004342371104285121,0.00412778789177537,0.00298858341993764,0.0061641858192160726,41.48929251512931,41.4885420569533,34.157780568382265,47.271083413117196,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.03899886602535844,0.038330866023898125,0.021660984214395284,0.05825514830648899,0.3557024362707193,4,2,2,9,2,6,0,38,,,9.718215424642969,9.825046727604462,6.128033403386111,12.716967267530812,0.15900104150176048,0.14017097651958466,0.10235527083277703,0.24270862117409706,14.78461377375879,14.943196762600916,10.994098137762448,17.98248813137325,0.412507404088974,0.4055063724517822,0.2448461525142193,0.5939171761274338,1.3557024362707193,1.33096214511041,0.924898265174024,1.8427428907327659,0.5735164583333333,0.5767791666666666,0.05698958333333334,0.9505412500000001,0.05563436612486839,0.05422885715961456,0.019704230781644582,0.09632426537573337,0.857021096397905,0.8601545956040411,0.7789984147416851,0.9181162243808598,5.066398349115822,5.14090289472432,-1.1806202905168661,11.278485074128012,2,2,2
LOLv2_1.0r_0.05anchorv1_0.05bdsp_0.0smv1_20260723-151945,r1-a1-sm0v1,best,100,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v1,0.05,0.05,0.0,v1,,,,,,,,,,,,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.042298272466287014,0.03508896380662918,0.014242716925218703,0.10489877574145794,0.5051463946700097,0.5013881623744965,0.402465857565403,0.6313706696033478,0.21548084534704684,0.22187386453151703,0.1568376965820789,0.2522201299667358,0.16368946976959706,0.16586007922887802,0.11796912662684918,0.2045143276453018,0.004157097222222223,0.0022368055555555557,0.00021555555555555556,0.016559444444444443,0.001605125,0.0005666666666666667,3.8611111111111116e-05,0.005912708333333333,11.296415422708623,10.626167785151027,5.017492801700528,23.172611704158165,4.885891845226795,4.544275703661581,1.552892636027598,8.827408355576475,10.97540689375893,10.0884270279373,5.691125150119963,18.51350864321385,0.7989085466316928,0.8194795619751982,0.6609705746623838,0.9128679238625309,0.04267778556793928,0.040700800716876984,0.010167297814041376,0.09192574135959146,0.09152242921292782,0.08080785721540451,0.03680983744561672,0.17832218855619428,0.04557305769994855,0.036954935640096664,0.01716344761662185,0.11625312119722367,0.0,0.0,0.0,0.0,0.19615194855166393,0.19043131378898182,0.11822707325109845,0.26520285772086644,0.8946230950384788,0.905382380275404,0.7561559616597348,0.9802734473712901,0.004047622152138501,0.003866085084155202,0.0027865049079991875,0.005855164979584515,41.98312091305306,41.652274826730526,34.56677453091706,47.784164538980576,0.06862152436748147,0.06045062467455864,0.02881842404603958,0.13796107545495034,0.022900904845446348,0.022668804973363876,0.010482142213732004,0.040356406942009926,0.4139586361527321,1,3,7,3,3,3,12,62,,,9.718215424642969,9.825046727604462,6.128033403386111,12.716967267530812,0.17651484072208404,0.15733622014522552,0.11115486398339272,0.2595820024609566,13.857086615384844,14.052743387782517,10.60364108201093,16.969378848690006,0.3859376360476017,0.37671153247356415,0.21831036806106568,0.563249033689499,1.413958636152732,1.3797113143434836,0.9807462845083396,1.9258878066974048,0.6370334583333334,0.6615291666666667,0.13095375,0.9687602083333332,0.058619928760454056,0.057589488103985786,0.02030455656349659,0.10056593529880045,0.8216431963223414,0.8245304201998576,0.736944852968596,0.9002736294945999,4.138871190741876,4.165555400512739,-1.9415212140203724,10.655999104625675,3,3,3
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,best,100,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.0,v1,,,,,,,,,,,,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.042298272466287014,0.03508896380662918,0.014242716925218703,0.10489877574145794,0.5071380439400673,0.5013487637042999,0.40248722285032273,0.637288099527359,0.21580114111304283,0.22126557677984238,0.15900284945964815,0.2519122436642647,0.16398727610707284,0.16599681973457336,0.11902885101735593,0.20488365069031714,0.004266722222222222,0.002427777777777778,0.00024256944444444445,0.017093125,0.0013124444444444444,0.0004736111111111111,2.9375000000000003e-05,0.005100138888888889,11.33052336184892,10.662747339680317,5.052087539287311,22.99499497057566,4.890773135497424,4.561122282670565,1.548943459006358,8.806352107017716,11.006821149182997,10.032706004600396,5.733794929126581,18.66669540405343,0.7989142024795138,0.8192778340455892,0.6588622496170048,0.908935860917409,0.042847078358754516,0.04119897447526455,0.010162716824561357,0.0921790800988674,0.09113892529159784,0.08062277361750603,0.037018604949116705,0.17686649709939958,0.04543231715448201,0.037121858447790146,0.017135884519666432,0.11598860584199427,0.0,0.0,0.0,0.0,0.19950400271371266,0.192285430343,0.11966504052488514,0.2693798613768966,0.8952099753096188,0.9063445007619426,0.7566709301810273,0.9801321337897604,0.0040645923186093565,0.0038660853169858456,0.002824742649681866,0.005904995882883668,41.93073705844767,41.71496158001804,34.51644365480308,47.75155986758037,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.03544765604659915,0.03490434214472771,0.018526867777109147,0.055403411760926245,0.4194308568240104,2,4,8,8,4,4,0,66,,,9.718215424642969,9.825046727604462,6.128033403386111,12.716967267530812,0.1780621086806059,0.1570897102355957,0.1137305174022913,0.2619629859924316,13.793905062138135,14.080267710677148,10.509767420731778,16.81423068327207,0.38447510614991187,0.375715047121048,0.21789618730545043,0.559187263250351,1.4194308568240104,1.3776960843965589,0.9837192570340559,1.9347345565838667,0.6406375833333334,0.6664583333333334,0.14779437500000003,0.9716068750000001,0.05854758283123374,0.057011425495147705,0.0202457414008677,0.10176121965050697,0.8220389094018314,0.822572780884555,0.7361857724626077,0.9003458136458049,4.0756896374951666,4.134800772781904,-2.0162307709298215,10.629667552269007,4,4,4
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260723-215946,r1-a2-sm0.1v1,best,100,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v1,,,,,,,,,,,,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.042298272466287014,0.03508896380662918,0.014242716925218703,0.10489877574145794,0.5096245616674423,0.49999186396598816,0.405908939242363,0.6407286614179611,0.2172445061057806,0.22197335958480835,0.15982434079051017,0.25454657822847365,0.16598550245165825,0.16880199313163757,0.1200514879077673,0.2069429025053978,0.005247041666666666,0.0026833333333333336,0.00024993055555555554,0.020160277777777767,0.0012521388888888888,0.0005250000000000001,2.1388888888888896e-05,0.0036709722222222213,11.421856213109315,10.734430314838558,5.0659664502752255,23.401234586856262,4.9517795684459465,4.601803908650826,1.566331471293825,8.801018940699407,11.016998261116344,10.169088852827189,5.7470094893344905,18.488648425819644,0.8012787272055231,0.8187371560637335,0.6646680196071164,0.9094715090618735,0.043691039560362695,0.04208584688603878,0.010299569088965654,0.0938187878578901,0.09064819000661373,0.07962127774953842,0.03636539839208126,0.17678915187716482,0.04476166650652885,0.03678559884428978,0.016959144920110702,0.1147878859192133,0.0,0.0,0.0,0.0,0.17536755535226012,0.17249600203562634,0.1059051571301763,0.24172672766123127,0.8912971398591939,0.9027679333571961,0.7585815537132639,0.9781565142727201,0.004198940247297287,0.0039993280079215765,0.0028713274630717935,0.006023680604994297,41.60161857988224,41.4525114266533,34.286152770469734,47.616443339468105,0.055691269244998697,0.046056926250457764,0.01882943119853735,0.12520217970013617,0.03495692076161504,0.034083571285009384,0.017539165075868366,0.05366083346307277,0.426970350279156,3,5,4,7,5,5,0,72,,,9.718215424642969,9.825046727604462,6.128033403386111,12.716967267530812,0.17896346122026444,0.1572820320725441,0.1106871746480465,0.2647496595978737,13.758689316630873,13.965461041839234,10.353357679151715,17.027512090844336,0.384458050429821,0.37434999644756317,0.21830062717199325,0.5516696721315383,1.426970350279156,1.3829199477277119,0.97595728608943,1.946248976738715,0.6454264999999999,0.68733125,0.15036083333333333,0.9707485416666667,0.05778253756463528,0.0565511342138052,0.020122343301773073,0.09873072952032089,0.8244420426761352,0.8255837543595624,0.7413986371866664,0.9014035353463375,4.0404738919879035,4.162188312798386,-2.085123944431977,10.76654876342843,5,5,5
